epoch,lr,loss,ce,dice_loss,macro_dice,macro_jac,macro_hd95,train_dice_c01,train_jac_c01,train_hd95_c01,train_dice_c02,train_jac_c02,train_hd95_c02,train_dice_c03,train_jac_c03,train_hd95_c03,train_dice_c04,train_jac_c04,train_hd95_c04,train_dice_c05,train_jac_c05,train_hd95_c05,train_dice_c06,train_jac_c06,train_hd95_c06,train_dice_c07,train_jac_c07,train_hd95_c07,train_dice_c08,train_jac_c08,train_hd95_c08,test_macro_dice,test_macro_jac,test_macro_hd95,test_dice_c01,test_jac_c01,test_hd95_c01,test_dice_c02,test_jac_c02,test_hd95_c02,test_dice_c03,test_jac_c03,test_hd95_c03,test_dice_c04,test_jac_c04,test_hd95_c04,test_dice_c05,test_jac_c05,test_hd95_c05,test_dice_c06,test_jac_c06,test_hd95_c06,test_dice_c07,test_jac_c07,test_hd95_c07,test_dice_c08,test_jac_c08,test_hd95_c08
0,0.0001,1.724124006,0.73261592,0.9915080847,0.008009686971,0.005916872019,12.3212534,0.009402619194,0.006513212015,0.3893768787,1.23E-05,6.15E-06,20.88975587,0,0,0,0.05729765555,0.04370661153,20.52631653,0.07522095355,0.05210569612,3.11501503,5.65E-05,2.83E-05,16.28807026,0,0,0,0.0004517973952,0.0002278594522,5.884607307,0,0,0,0,0,0,0,0,0,0,0,7.059044288,0,0,0,0.00605124998,0.003261797646,16.40712161,0,0,0,0.0002080204728,0.0001042755797,11.51511133,0,0,0
1,0.0001,1.207762219,0.4164809339,0.7912812857,0.0642882417,0.04499887414,8.496880325,0.1439250627,0.09819486713,20.84402754,0,0,0,0,0,0,0.2746770078,0.1989772999,18.68708662,0.2570191762,0.1717590217,31.44237242,0,0,0,0,0,0,0.1887316542,0.1300111583,26.73622669,0.2685124041,0.1832131742,28.55416618,0.03625797617,0.02214159787,12.01277532,0.2849709125,0.1928291214,24.77882343,0.0008785140562,0.0004487179487,2.307331418,0.005671464442,0.00295193003,17.39181065,0.0121991351,0.007613890646,4.834775655,0.2829014662,0.203988545,35.95955185,0.001561646328,0.0007983284286,3.396846893,0.05232507813,0.03081714477,28.62549577
2,0.0001,0.9040789256,0.4374153222,0.4666636029,0.1677016126,0.1205934433,21.89035415,0.2710215679,0.2012280311,26.4797323,0.0003147128245,0.0001604878832,0.6179480288,0,0,0.07567427752,0.2075549398,0.1526459402,17.68041863,0.3685381491,0.2609159767,21.60216332,0.02536484337,0.01572361663,8.705037275,0.09190692621,0.05381330994,22.32963063,0.199742915,0.1393966314,37.26998936,0.4398589372,0.3328039921,20.84645131,0.3617482489,0.2768919266,22.41221115,0.6059160975,0.502523933,19.03043216,0.05650035282,0.03224159148,14.34774807,0.07122012393,0.04339298,30.10311271,0.3673340525,0.2710540619,44.72132951,0.4087339798,0.2977949768,59.79933726,0.1230528358,0.07663329054,29.36815119,0.1819983292,0.1185790803,38.05105673
3,0.0001,0.7846767391,0.3835494007,0.40112734,0.2167226904,0.1593027286,25.14096913,0.3056983874,0.2238898966,32.01616101,0.1151429964,0.07679673151,23.75358544,0.3094172265,0.2149449781,23.7268422,0.1922777569,0.1423487481,18.44398215,0.266810174,0.1884741227,38.6192759,0.1070859929,0.07193920602,15.7622416,0.2492158112,0.1811408568,21.48222787,0.3088078393,0.2321610352,26.35524217,0.3625771127,0.273011132,25.29549651,0.4300400857,0.3507805732,25.65877376,0.6429074498,0.5292190854,42.45949349,0.05068693562,0.02959827719,16.31365372,0.1861983429,0.117800871,27.14970853,0.3659824024,0.2641765252,49.78117886,0.3004766035,0.2065021175,39.42265083,0.1637575137,0.1066207325,25.05909534,0.127984379,0.0800260091,37.97359276
4,0.0001,0.6445681205,0.30257523,0.3419928923,0.32430986,0.2417089564,25.38871674,0.4462926497,0.3362965291,26.76045514,0.3680562135,0.2636074776,23.53199923,0.4595845767,0.3288335457,14.43398567,0.2853286861,0.2105173619,13.43462848,0.369095265,0.2600725067,28.51531071,0.3951599508,0.3011074931,20.67426071,0.5479484863,0.4190677367,26.09696932,0.5299353654,0.4203761102,26.43138568,0.6063182598,0.4851617896,16.07765413,0.4825822074,0.3880486254,32.25915484,0.6825094434,0.5766152296,23.83139533,0.1045152241,0.06262869709,19.62644243,0.200200325,0.1244222212,34.87013381,0.2538967664,0.1729000852,43.23714711,0.4031522394,0.2909213407,37.53354786,0.1750044663,0.1144858005,23.91471546,0.3015326018,0.2052778625,32.72464431
5,0.0001,0.5879732856,0.3024324293,0.2855408578,0.3270031181,0.2466383434,25.44144297,0.3918995687,0.2841691485,30.97277719,0.422212849,0.3057393511,13.16826966,0.4606447893,0.3315627135,13.8153364,0.2994174014,0.2425664003,6.030520148,0.3059795169,0.2023304732,33.10508397,0.3989889092,0.3038121168,28.34839407,0.3869730779,0.2827553414,31.6321198,0.44339734,0.3467525716,34.08418637,0.5351465305,0.4080170797,18.74645873,0.5405740742,0.4411315181,32.62909505,0.6092591904,0.4838754417,37.44066247,0.07450409865,0.04510890556,18.17872141,0.1672705928,0.09853073164,44.89103916,0.2259751032,0.151268049,42.26955878,0.360215359,0.2536516433,28.51282931,0.2109551693,0.1367278346,28.8227983,0.3097074924,0.2126297637,39.63868765
6,0.0001,0.5100571439,0.2520426287,0.2580145132,0.4121518709,0.3160534995,23.06116807,0.398083593,0.3013131213,25.88361519,0.505554115,0.3730980366,11.47709645,0.4717073318,0.3425406147,12.63837311,0.3457068159,0.2650333925,5.869153637,0.2847026678,0.2045630003,8.48492248,0.4967935148,0.3879459124,30.33206998,0.4823941006,0.3466406436,48.79367615,0.5762095797,0.4614937808,17.76943569,0.5658218811,0.4435661313,21.77120284,0.6033427358,0.5118947809,28.18543868,0.7232770527,0.623768128,24.89637944,0.1076891188,0.06621800115,19.39584287,0.1146881148,0.07291598954,22.81768702,0.3342366888,0.2399373478,37.16856379,0.2251453528,0.1534714554,36.18303809,0.3276823986,0.2228067436,34.29174345,0.3169322421,0.2230390075,31.4836424
7,0.0001,0.454953621,0.2236594629,0.2312941585,0.4544346805,0.3536073655,21.26165881,0.3364044613,0.2607191407,23.80792789,0.5154145099,0.3947196404,11.88687893,0.3876510765,0.2986493145,7.786440699,0.444719252,0.3405445382,5.000044359,0.2061415232,0.1510911156,5.121066839,0.5073443017,0.3959840277,24.88827436,0.3445062814,0.2671703865,29.49438169,0.5472545627,0.4403360572,20.17974635,0.4530752395,0.348965989,33.81886717,0.611399491,0.5225546483,23.46794531,0.6638660345,0.5654119181,40.66750998,0.2025499214,0.1333764914,21.36592799,0.08960339318,0.05664845898,17.93095048,0.4971557017,0.3895169206,28.60677782,0.3107538881,0.2326266981,30.93551754,0.3096397039,0.2118266005,34.69767532,0.2356382543,0.1651892444,24.70868871
8,0.0001,0.4012686445,0.1890207453,0.2122478984,0.5212449473,0.414336065,21.58083182,0.4643876386,0.3594063373,25.55991803,0.5850642617,0.4536241539,10.3862657,0.5680520212,0.4464076786,9.762386128,0.4640491065,0.3605661809,5.68504227,0.1669958259,0.1245173504,4.327387791,0.6234722783,0.5046964319,23.39449835,0.573812203,0.4362814992,40.13220691,0.6752544932,0.5558433679,24.56765528,0.464640971,0.3641538539,19.10718906,0.6919752894,0.5979940197,27.62807587,0.7396343608,0.6419998359,18.94273273,0.2514516036,0.1675922054,19.39381837,0.2646552776,0.1714716714,24.828517,0.483795748,0.3891320845,31.84124505,0.5410891375,0.4182615148,47.34118831,0.3948967978,0.2852400754,29.75005365,0.3962213116,0.2721572942,40.03773632
9,0.0001,0.3714821431,0.173268069,0.1982140743,0.5261316388,0.4193918774,18.31295509,0.4063504186,0.313862948,26.42836252,0.5955438221,0.4681830501,8.820419395,0.5312463769,0.4015940986,11.30377441,0.3489798468,0.2590825191,7.960775335,0.2480479912,0.1899387233,4.861278533,0.5631135603,0.4445107981,19.75413146,0.33896354,0.2601692327,35.59439019,0.6742090084,0.552263448,15.95055703,0.4537204051,0.340256441,51.60316401,0.6797176155,0.59189267,23.72844258,0.7274854733,0.6288891087,33.32462128,0.3173556279,0.2110019168,16.84602703,0.2253000993,0.1459497601,22.47875316,0.6037698517,0.5076727293,27.52108844,0.4203851395,0.3276777689,26.15325248,0.4263637772,0.3205278879,25.92219948,0.3056543232,0.2164284505,26.10766611
10,0.0001,0.3342625408,0.1511642083,0.1830983327,0.5450274295,0.4389503908,17.6085105,0.4903011719,0.3871751422,20.52716357,0.6399314485,0.5135737872,8.63310468,0.5603278355,0.4312852917,7.467463497,0.4011217118,0.3082189391,5.900410977,0.3038979422,0.2191154214,7.942036344,0.6234611103,0.5144243405,15.88125455,0.5830652393,0.4664816119,22.07335265,0.6654758235,0.5467884654,21.0884294,0.4971653351,0.3888606012,29.58698111,0.6862761247,0.5945403264,26.79205869,0.7583847282,0.6687717364,28.94868878,0.3035024925,0.2029041571,17.31723028,0.2553318191,0.1680070181,19.57688401,0.6609527971,0.5607543862,16.22982881,0.5618692421,0.4578155072,21.72004316,0.3794979272,0.2703987249,29.02576662,0.4023672333,0.2970639494,26.901859
11,0.0001,0.3128806086,0.1430994067,0.1697812011,0.5926021728,0.4882936269,15.49573551,0.4205648541,0.3314920367,20.40643653,0.6756344551,0.5475922852,6.955482281,0.475742213,0.3745473887,6.672784644,0.4663441725,0.3730075363,6.347507075,0.2603901703,0.204490385,4.166773936,0.6942107396,0.5844285927,12.01959124,0.5461063283,0.4448383188,22.20702386,0.6719957556,0.5573786577,15.4257425,0.4966421546,0.3704519935,33.3579114,0.7555133887,0.6663911732,26.45609706,0.6816368567,0.5870673039,18.6598739,0.304246714,0.2040306433,16.55828964,0.1832983058,0.1206504536,21.95241951,0.6220640645,0.5464638889,17.81467284,0.4509030173,0.3568155289,29.82090427,0.5508080922,0.4270562377,22.38850144,0.2697997863,0.1930749209,26.41380074
