Epoch 0, Loss=1.654213, Loss_SEG=0.798222, Loss_DICE=0.855991
[METRICS] Macro Dice=0.1227 | Jaccard=0.1176 | HD95=7.0611
[METRICS] Class 01: Dice=0.0319 | Jaccard=0.0316 | HD95=8.0530
[METRICS] Class 02: Dice=0.0714 | Jaccard=0.0714 | HD95=0.8930
[METRICS] Class 03: Dice=0.0717 | Jaccard=0.0716 | HD95=3.7348
[METRICS] Class 04: Dice=0.0092 | Jaccard=0.0091 | HD95=2.1703
[METRICS] Class 05: Dice=0.4801 | Jaccard=0.4422 | HD95=18.2694
[METRICS] Class 06: Dice=0.1117 | Jaccard=0.1117 | HD95=4.1224
[METRICS] Class 07: Dice=0.0834 | Jaccard=0.0820 | HD95=10.8822
[METRICS] Class 08: Dice=0.1223 | Jaccard=0.1214 | HD95=8.3640
Epoch 1, Loss=1.034776, Loss_SEG=0.162075, Loss_DICE=0.872701
[METRICS] Macro Dice=0.0500 | Jaccard=0.0444 | HD95=2.5607
[METRICS] Class 01: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 02: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 03: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 04: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 05: Dice=0.3951 | Jaccard=0.3506 | HD95=19.3739
[METRICS] Class 06: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 07: Dice=0.0048 | Jaccard=0.0046 | HD95=1.1120
[METRICS] Class 08: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
Epoch 2, Loss=0.994078, Loss_SEG=0.112817, Loss_DICE=0.881262
[METRICS] Macro Dice=0.0778 | Jaccard=0.0708 | HD95=4.9096
[METRICS] Class 01: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 02: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 03: Dice=0.0489 | Jaccard=0.0439 | HD95=5.9816
[METRICS] Class 04: Dice=0.0364 | Jaccard=0.0326 | HD95=2.6175
[METRICS] Class 05: Dice=0.4242 | Jaccard=0.3814 | HD95=19.9784
[METRICS] Class 06: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 07: Dice=0.0723 | Jaccard=0.0676 | HD95=7.2795
[METRICS] Class 08: Dice=0.0409 | Jaccard=0.0406 | HD95=3.4202
Epoch 3, Loss=0.970825, Loss_SEG=0.092031, Loss_DICE=0.878794
[METRICS] Macro Dice=0.1608 | Jaccard=0.1473 | HD95=7.5777
[METRICS] Class 01: Dice=0.0568 | Jaccard=0.0433 | HD95=3.9746
[METRICS] Class 02: Dice=0.0000 | Jaccard=0.0000 | HD95=0.0000
[METRICS] Class 03: Dice=0.2425 | Jaccard=0.2248 | HD95=9.3240
[METRICS] Class 04: Dice=0.2395 | Jaccard=0.2284 | HD95=8.5769
